,State_name,Sector,Sex,Age,Marital_Status,Year_Edu,LFPR
0,Kerala,0,0,66,1,20,1
1,Kerala,0,1,62,1,15,0
2,Kerala,0,0,36,1,10,1
3,Kerala,0,1,33,1,12,0
4,Kerala,0,0,1,0,0,0
5,Kerala,0,0,34,1,10,1
6,Kerala,0,1,26,1,15,0
7,Kerala,0,0,0,0,0,0
8,Kerala,0,0,56,1,5,1
9,Kerala,0,1,47,1,7,0
10,Kerala,0,1,19,0,15,0
11,Kerala,0,1,38,1,12,1
12,Kerala,0,0,42,1,10,1
13,Kerala,0,1,13,0,7,0
14,Kerala,0,1,8,0,3,0
15,Kerala,0,1,41,0,0,0
16,Kerala,0,1,41,1,17,1
17,Kerala,0,0,55,1,5,1
18,Kerala,0,1,54,1,3,1
19,Kerala,0,1,18,0,12,0
20,Kerala,0,0,67,1,1,1
21,Kerala,0,1,54,1,8,1
22,Kerala,0,0,33,0,10,0
23,Kerala,0,0,60,1,4,1
24,Kerala,0,1,58,1,0,1
25,Kerala,0,0,32,0,7,1
26,Kerala,0,0,30,0,7,1
27,Kerala,0,0,63,1,6,0
28,Kerala,0,1,53,1,0,1
29,Kerala,0,0,70,1,10,0
30,Kerala,0,1,65,1,4,1
31,Kerala,0,0,41,1,15,1
32,Kerala,0,1,33,1,15,0
33,Kerala,0,0,11,0,4,0
34,Kerala,0,0,3,0,0,0
35,Kerala,0,0,40,1,10,1
36,Kerala,0,1,29,1,16,1
37,Kerala,0,0,5,0,0,0
38,Kerala,0,1,35,1,15,1
39,Kerala,0,0,11,0,5,0
40,Kerala,0,1,4,0,0,0
41,Kerala,0,1,32,1,15,1
42,Kerala,0,1,11,0,5,0
43,Kerala,0,1,7,0,1,0
44,Kerala,0,0,44,1,10,1
45,Kerala,0,1,39,1,10,1
46,Kerala,0,0,9,0,2,0
47,Kerala,0,1,11,0,5,0
48,Kerala,0,0,71,1,12,1
49,Kerala,0,1,65,1,5,0
50,Kerala,0,0,41,1,13,1
51,Kerala,0,1,30,1,16,1
52,Kerala,0,0,11,0,4,0
53,Kerala,0,1,3,0,0,0
54,Kerala,0,1,37,1,14,1
55,Kerala,0,0,48,1,8,1
56,Kerala,0,0,14,0,8,0
57,Kerala,0,0,66,1,7,1
58,Kerala,0,1,56,1,4,1
59,Kerala,0,1,60,0,6,1
60,Kerala,0,1,38,1,7,1
61,Kerala,0,0,18,0,12,1
62,Kerala,0,1,17,0,11,0
63,Kerala,0,1,12,0,6,0
64,Kerala,0,1,40,1,7,1
65,Kerala,0,1,37,1,10,0
66,Kerala,0,0,16,0,11,0
67,Kerala,0,1,13,0,7,0
68,Kerala,0,1,0,0,0,0
69,Kerala,0,0,21,0,10,1
70,Kerala,0,1,38,1,9,1
71,Kerala,0,1,18,0,13,0
72,Kerala,0,1,14,0,8,0
73,Kerala,0,0,7,0,1,0
74,Kerala,0,0,6,0,0,0
75,Kerala,0,0,35,1,8,0
76,Kerala,0,1,30,1,4,0
77,Kerala,0,1,30,1,8,0
78,Kerala,0,0,37,1,8,1
79,Kerala,0,1,11,0,5,0
80,Kerala,0,1,6,0,0,0
81,Kerala,0,0,57,1,0,1
82,Kerala,0,1,49,1,6,0
83,Kerala,0,0,16,0,10,0
84,Kerala,0,1,22,0,16,1
85,Kerala,0,1,22,1,12,0
86,Kerala,0,0,1,0,0,0
87,Kerala,0,0,38,1,10,1
88,Kerala,0,1,33,1,15,0
89,Kerala,0,0,9,0,2,0
90,Kerala,0,1,7,0,2,0
91,Kerala,0,1,4,0,0,0
92,Kerala,0,0,35,1,12,1
93,Kerala,0,1,28,1,15,0
94,Kerala,0,1,3,0,0,0
95,Kerala,0,1,63,1,0,0
96,Kerala,0,0,20,0,14,1
97,Kerala,0,0,40,1,6,1
98,Kerala,0,1,39,1,8,0
99,Kerala,0,0,10,0,3,0
100,Kerala,0,1,15,0,10,0
101,Kerala,0,0,32,1,0,1
102,Kerala,0,1,58,1,6,0
103,Kerala,0,1,27,1,15,0
104,Kerala,0,0,1,0,0,0
105,Kerala,0,1,3,0,0,0
106,Kerala,0,0,28,0,15,1
107,Kerala,0,0,39,1,5,1
108,Kerala,0,1,34,1,10,0
109,Kerala,0,0,2,0,0,0
110,Kerala,0,1,10,0,4,0
111,Kerala,0,1,8,0,2,0
112,Kerala,0,1,1,0,0,0
113,Kerala,0,0,50,1,9,1
114,Kerala,0,1,38,1,12,0
115,Kerala,0,0,5,0,0,0
116,Kerala,0,0,0,0,0,0
117,Kerala,0,0,63,1,10,0
118,Kerala,0,1,49,1,12,0
119,Kerala,0,1,33,1,16,0
120,Kerala,0,0,0,0,0,0
121,Kerala,0,1,29,1,19,0
122,Kerala,0,1,1,0,0,0
123,Kerala,0,0,31,1,7,1
124,Kerala,0,1,27,1,0,0
125,Kerala,0,0,4,0,0,0
126,Kerala,0,1,10,0,4,0
127,Kerala,0,1,9,0,2,0
128,Kerala,0,0,29,1,6,1
129,Kerala,0,1,20,1,10,0
130,Kerala,0,0,48,1,12,1
131,Kerala,0,1,42,1,0,1
